CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/29/2019,8:41,BROOKLYN,11232,40.656124,-74.00591,"(40.656124, -74.00591)",3 AVENUE                        ,35 STREET,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4179197,Station Wagon/Sport Utility Vehicle,Bike,Tractor Truck Diesel,,
07/23/2019,15:51,BROOKLYN,11222,40.7263,-73.94913,"(40.7263, -73.94913)",MC GUINNESS BOULEVARD           ,NORMAN AVENUE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4175814,Box Truck,Bike,,,
06/27/2019,20:59,BROOKLYN,11212,40.667027,-73.911026,"(40.667027, -73.911026)",CHESTER STREET                  ,SUTTER AVENUE,,1,1,0,0,0,1,1,0,Driver Inattention/Distraction,Traffic Control Disregarded,,,,4163415,Station Wagon/Sport Utility Vehicle,Bike,,,
07/01/2019,12:23,BROOKLYN,11206,40.70621,-73.939606,"(40.70621, -73.939606)",BOERUM STREET                   ,BUSHWICK AVENUE,,0,1,0,0,0,1,0,0,Unspecified,Unspecified,,,,4163168,Concrete Mixer,Bike,,,
06/24/2019,9:24,MANHATTAN,10010,,,,AVENUE OF AMERICAS              ,WEST 23 STREET,,0,1,0,0,0,1,0,0,Unsafe Lane Changing,Unspecified,,,,4158019,Box Truck,Bike,,,
06/09/2019,22:37,,,40.65375,-73.90166,"(40.65375, -73.90166)",AVENUE D                        ,,,2,1,0,0,0,1,2,0,Alcohol Involvement,Unspecified,,,,4148419,Sedan,Bike,,,
05/11/2019,17:25,BROOKLYN,11216,40.67657,-73.94431,"(40.67657, -73.94431)",DEAN STREET                     ,BROOKLYN AVENUE,,0,1,0,0,0,1,0,0,Traffic Control Disregarded,Unspecified,,,,4129647,Station Wagon/Sport Utility Vehicle,Bike,,,
05/15/2019,17:38,,,40.626755,-73.98598,"(40.626755, -73.98598)",17 AVENUE                       ,,,0,1,0,0,0,1,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4133718,Box Truck,Station Wagon/Sport Utility Vehicle,Bike,,
05/12/2019,20:19,,,40.605072,-73.92988,"(40.605072, -73.92988)",AVENUE U                        ,,,0,1,0,0,0,1,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4130445,Station Wagon/Sport Utility Vehicle,Bike,,,
04/27/2019,18:35,,,40.75326,-74.00383,"(40.75326, -74.00383)",11 AVENUE                       ,,,0,1,0,0,0,1,0,0,Oversized Vehicle,Unspecified,,,,4121753,Bike,Tractor Truck Diesel,,,
