CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/08/2017,11:57,BRONX,10464,,,,ORCHARD BEACH ROAD              ,BARTOW CIRCLE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3706912,Station Wagon/Sport Utility Vehicle,Bike,Bike,Sedan,
06/21/2017,18:30,QUEENS,11369,40.758205,-73.88087,"(40.758205, -73.88087)",,,87-09     32 AVENUE                     ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3696276,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike,,
06/29/2017,17:40,,,40.737568,-74.00975,"(40.737568, -74.00975)",WEST STREET                     ,,,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3704199,Bike,Bike,Bike,,
06/11/2017,17:25,MANHATTAN,10036,40.76126,-73.98758,"(40.76126, -73.98758)",,,306       WEST 48 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3688986,Taxi,Sedan,Bike,,
06/21/2017,17:15,BROOKLYN,11222,40.731853,-73.95455,"(40.731853, -73.95455)",,,953       MANHATTAN AVENUE              ,1,0,0,0,1,0,0,0,Backing Unsafely,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,3696416,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Bike,,
06/22/2017,11:21,,,40.89466,-73.86137,"(40.89466, -73.86137)",BRONX BOULEVARD                 ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3696899,Station Wagon/Sport Utility Vehicle,Sedan,Bike,,
06/07/2017,9:00,BROOKLYN,11216,40.685184,-73.952995,"(40.685184, -73.952995)",,,150       MONROE STREET                 ,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Reaction to Uninvolved Vehicle,Unspecified,,,3686271,Station Wagon/Sport Utility Vehicle,Bike,Bike,,
05/31/2017,14:35,MANHATTAN,10017,40.75519,-73.97122,"(40.75519, -73.97122)",3 AVENUE                        ,EAST 49 STREET,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3681372,Box Truck,Sedan,Bike,,
05/21/2017,15:50,STATEN ISLAND,10312,40.54238,-74.20219,"(40.54238, -74.20219)",WOODROW ROAD                    ,MARCY AVENUE,,2,0,0,0,1,0,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,3675058,Station Wagon/Sport Utility Vehicle,Bike,Bike,,
05/27/2017,20:30,BRONX,10472,40.82864,-73.85344,"(40.82864, -73.85344)",OLMSTEAD AVENUE                 ,BLACKROCK AVENUE,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,Unspecified,,,3679102,Sedan,Sedan,Bike,,
05/22/2017,19:20,QUEENS,11374,40.72962,-73.85817,"(40.72962, -73.85817)",98 STREET                       ,64 ROAD,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Unspecified,,,3675744,Station Wagon/Sport Utility Vehicle,Taxi,Bike,,
05/23/2017,19:06,,,40.69312,-73.96882,"(40.69312, -73.96882)",MYRTLE AVENUE                   ,,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,3676598,Sedan,Sedan,Bike,,
04/30/2017,6:33,,,40.723236,-73.912575,"(40.723236, -73.912575)",MAURICE AVENUE                  ,,,1,0,0,0,1,0,0,0,Backing Unsafely,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,3660507,Bike,Sedan,Bike,,
04/27/2017,14:00,MANHATTAN,10019,40.76542,-73.98383,"(40.76542, -73.98383)",WEST 55 STREET                  ,8 AVENUE,,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3660980,Bike,Sedan,Bike,,
